

----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "mainparams_primary".
datafile is
Albania_2000_STRUCTURE.txt
Reading file "extraparams_primary".
Reading file "Albania_2000_STRUCTURE.txt".


Data file "Albania_2000_STRUCTURE.txt" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: CP00019943    2  : 93 170 150 120 100 110 120  . . . . 242
  1: CP00019943    2  : 93 230 160 130 110 140 130  . . . . 302
  2: CP00019945    2  : 60 190 180 130 120 140 132  . . . . 200
  2: CP00019945    2  : 93 200 180 140 120 180 150  . . . . 302
  3: CP00019948    2  : 60 170 160 120  90 120 140  . . . . 190
  3: CP00019948    2  : 80 250 180 140 120 180 150  . . . . 252
  4: CP00019939    2  : 60 170 150 140 120 160 140  . . . . 200
  4: CP00019939    2  : 90 200 180 150 120 170 140  . . . . 232

      *******   

1999: CP00072160    2  : 80 160 160 110  90 120 140  . . . . 190
1999: CP00072160    2  : 93 170 170 120 110 160 142  . . . . 200
2000: CP00072149    2  : 60 160 150 120  90 110 140  . . . . 180
2000: CP00072149    2  : 60 160 180 150 120 140 150  . . . . 262

Number of alleles per locus: min= 6; ave=15.4; max=55


--------------------------------------

Finished initialization; starting MCMC 
500000 iterations + 100000 burnin


 Rep#:   Lambda   Alpha      F1       Ln Like 
  100:    1.00    1.422    0.017      --  
  200:    1.00    1.108    0.015      --  
  300:    1.00    1.066    0.025      --  
  400:    1.00    1.138    0.021      --  
  500:    1.00    1.256    0.026      --  
  600:    1.00    1.496    0.020      --  
  700:    1.00    1.569    0.018      --  
  800:    1.00    1.648    0.017      --  
  900:    1.00    1.074    0.020      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 1000:    1.00    1.456    0.021      --  
 1100:    1.00    1.885    0.026      --  
 1200:    1.00    1.972    0.037      --  
 1300:    1.00    1.657    0.023      --  
 1400:    1.00    1.444    0.028      --  
 1500:    1.00    1.053    0.027      --  
 1600:    1.00    0.747    0.023      --  
 1700:    1.00    0.858    0.038      --  
 1800:    1.00    1.078    0.034      --  
 1900:    1.00    1.593    0.031      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 2000:    1.00    1.741    0.041      --  
 2100:    1.00    1.866    0.052      --  
 2200:    1.00    1.158    0.036      --  
 2300:    1.00    1.371    0.039      --  
 2400:    1.00    0.893    0.033      --  
 2500:    1.00    0.631    0.031      --  
 2600:    1.00    0.965    0.040      --  
 2700:    1.00    1.132    0.034      --  
 2800:    1.00    1.048    0.031      --  
 2900:    1.00    0.956    0.036      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 3000:    1.00    0.726    0.030      --  
 3100:    1.00    1.028    0.023      --  
 3200:    1.00    0.909    0.017      --  
 3300:    1.00    1.342    0.019      --  
 3400:    1.00    1.307    0.026      --  
 3500:    1.00    0.955    0.027      --  
 3600:    1.00    1.410    0.034      --  
 3700:    1.00    1.068    0.032      --  
 3800:    1.00    1.092    0.032      --  
 3900:    1.00    1.212    0.032      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 4000:    1.00    1.377    0.027      --  
 4100:    1.00    1.608    0.024      --  
 4200:    1.00    1.418    0.020      --  
 4300:    1.00    1.250    0.021      --  
 4400:    1.00    1.318    0.023      --  
 4500:    1.00    1.199    0.029      --  
 4600:    1.00    1.509    0.021      --  
 4700:    1.00    1.404    0.032      --  
 4800:    1.00    1.561    0.032      --  
 4900:    1.00    1.288    0.027      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 5000:    1.00    1.349    0.028      --  
 5100:    1.00    1.280    0.032      --  
 5200:    1.00    1.391    0.030      --  
 5300:    1.00    0.959    0.030      --  
 5400:    1.00    1.392    0.026      --  
 5500:    1.00    1.397    0.027      --  
 5600:    1.00    1.469    0.029      --  
 5700:    1.00    1.999    0.025      --  
 5800:    1.00    2.464    0.021      --  
 5900:    1.00    2.426    0.031      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 6000:    1.00    2.668    0.031      --  
 6100:    1.00    2.590    0.031      --  
 6200:    1.00    2.929    0.027      --  
 6300:    1.00    2.518    0.029      --  
 6400:    1.00    2.438    0.024      --  
 6500:    1.00    2.663    0.025      --  
 6600:    1.00    2.606    0.025      --  
 6700:    1.00    2.854    0.026      --  
 6800:    1.00    2.795    0.035      --  
 6900:    1.00    3.340    0.030      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 7000:    1.00    2.796    0.025      --  
 7100:    1.00    2.656    0.030      --  
 7200:    1.00    2.464    0.024      --  
 7300:    1.00    2.060    0.030      --  
 7400:    1.00    2.086    0.031      --  
 7500:    1.00    2.260    0.024      --  
 7600:    1.00    2.078    0.027      --  
 7700:    1.00    1.721    0.028      --  
 7800:    1.00    1.544    0.023      --  
 7900:    1.00    1.487    0.024      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 8000:    1.00    1.444    0.022      --  
 8100:    1.00    1.746    0.028      --  
 8200:    1.00    1.355    0.034      --  
 8300:    1.00    1.528    0.030      --  
 8400:    1.00    1.363    0.029      --  
 8500:    1.00    1.736    0.033      --  
 8600:    1.00    1.766    0.031      --  
 8700:    1.00    1.859    0.025      --  
 8800:    1.00    1.789    0.029      --  
 8900:    1.00    1.834    0.034      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 9000:    1.00    1.730    0.033      --  
 9100:    1.00    1.822    0.037      --  
 9200:    1.00    1.616    0.032      --  
 9300:    1.00    1.784    0.026      --  
 9400:    1.00    1.804    0.030      --  
 9500:    1.00    1.385    0.028      --  
 9600:    1.00    1.490    0.032      --  
 9700:    1.00    1.276    0.035      --  
 9800:    1.00    1.263    0.040      --  
 9900:    1.00    1.082    0.033      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
10000:    1.00    1.481    0.039      --  
10100:    1.00    1.056    0.030      --  
10200:    1.00    1.341    0.033      --  
10300:    1.00    1.182    0.036      --  
10400:    1.00    1.322    0.033      --  
10500:    1.00    1.209    0.032      --  
10600:    1.00    1.797    0.035      --  
10700:    1.00    2.117    0.028      --  
10800:    1.00    1.755    0.030      --  
10900:    1.00    1.777    0.028      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
11000:    1.00    2.243    0.028      --  
11100:    1.00    2.192    0.032      --  
11200:    1.00    2.035    0.024      --  
11300:    1.00    1.889    0.034      --  
11400:    1.00    2.735    0.032      --  
11500:    1.00    2.489    0.031      --  
11600:    1.00    2.545    0.030      --  
11700:    1.00    2.490    0.024      --  
11800:    1.00    2.320    0.035      --  
11900:    1.00    2.433    0.042      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
12000:    1.00    2.390    0.030      --  
12100:    1.00    2.130    0.034      --  
12200:    1.00    2.260    0.038      --  
12300:    1.00    2.003    0.032      --  
12400:    1.00    2.131    0.027      --  
12500:    1.00    1.944    0.039      --  
12600:    1.00    1.859    0.033      --  
12700:    1.00    2.467    0.027      --  
12800:    1.00    2.144    0.026      --  
12900:    1.00    1.826    0.037      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
13000:    1.00    1.540    0.031      --  
13100:    1.00    1.751    0.023      --  
13200:    1.00    1.705    0.029      --  
13300:    1.00    1.815    0.029      --  
13400:    1.00    1.237    0.029      --  
13500:    1.00    1.408    0.030      --  
13600:    1.00    1.218    0.029      --  
13700:    1.00    1.022    0.028      --  
13800:    1.00    0.740    0.029      --  
13900:    1.00    0.901    0.036      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
14000:    1.00    1.017    0.030      --  
14100:    1.00    1.280    0.029      --  
14200:    1.00    1.594    0.029      --  
14300:    1.00    1.420    0.031      --  
14400:    1.00    1.591    0.029      --  
14500:    1.00    1.789    0.023      --  
14600:    1.00    1.990    0.023      --  
14700:    1.00    1.710    0.034      --  
14800:    1.00    1.311    0.029      --  
14900:    1.00    1.150    0.027      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
15000:    1.00    0.993    0.023      --  
15100:    1.00    0.961    0.023      --  
15200:    1.00    1.065    0.030      --  
15300:    1.00    1.224    0.026      --  
15400:    1.00    1.247    0.029      --  
15500:    1.00    1.302    0.030      --  
15600:    1.00    1.204    0.027      --  
15700:    1.00    1.352    0.030      --  
15800:    1.00    1.814    0.028      --  
15900:    1.00    1.780    0.029      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
16000:    1.00    1.720    0.028      --  
16100:    1.00    1.624    0.038      --  
16200:    1.00    1.386    0.032      --  
16300:    1.00    1.737    0.033      --  
16400:    1.00    1.141    0.030      --  
16500:    1.00    0.829    0.033      --  
16600:    1.00    0.832    0.031      --  
16700:    1.00    0.348    0.030      --  
